"genes"	"logFC"	"p_value"	"q_value"
"20314"	"RPS6KA5"	-1.34641	0.221	0.97452
"20315"	"RPS6KA6"	3.54396	0.001	0.0408085
"20316"	"RPS6KB1"	0.0119342	0.99135	0.99948
"20317"	"RPS6KB2"	-0.170352	0.8747	0.99948
"20318"	"RPS6KC1"	-0.425995	0.72715	0.99948
"20319"	"RPS6KL1"	-1.99839	0.0243	0.362175
"20320"	"RPS7"	-0.437243	0.4787	0.99948
"20321"	"RPS7P5"	768.314	1	1
"20322"	"RPS8"	0.104157	0.8672	0.99948
"20323"	"RPS9"	-0.0366711	0.94855	0.99948
"20324"	"RPSA"	0.288146	0.7664	0.99948
"20325"	"RPSAP52"	-797.519	1	1
"20326"	"RPSAP58"	1.19496	0.3823	0.99948
"20327"	"RPSAP9"	0.825476	0.31065	0.99948
"20328"	"RPTN"	1.33816	0.1533	0.883305
"20329"	"RPTOR"	-0.963981	0.4505	0.99948
"20330"	"RPUSD1"	1.90795	0.0419	0.504996
"20331"	"RPUSD2"	-4.27073	0.0343	0.445654
"20332"	"RPUSD3"	-3.67809	0.16505	0.91047
"20333"	"RPUSD4"	-1.56536	0.19225	0.951204
"20334"	"RQCD1"	0.0104756	0.9903	0.99948
"20335"	"RRAD"	-0.789255	0.5423	0.99948
"20336"	"RRAGA"	-1.35104	0.28125	0.99948
"20337"	"RRAGB"	-0.94177	0.3716	0.99948
"20338"	"RRAGC"	0.313748	0.60885	0.99948
"20339"	"RRAGD"	0.0920849	0.8707	0.99948
"20340"	"RRAS"	-0.735454	0.4107	0.99948
"20341"	"RRAS2"	0.330192	0.73585	0.99948
"20342"	"RRBP1"	0.830498	0.2131	0.969287
"20343"	"RREB1"	0.0724974	0.9009	0.99948
"20344"	"RRH"	-797.519	1	1
"20345"	"RRM1"	0.371803	0.76345	0.99948
"20346"	"RRM2"	-0.288973	0.781	0.99948
"20347"	"RRM2B"	0.117945	0.94865	0.99948
"20348"	"RRN3"	-0.927331	0.45455	0.99948
"20349"	"RRN3P1"	0.0525603	0.96145	0.99948
"20350"	"RRN3P2"	-1.37831	0.3086	0.99948
"20351"	"RRN3P3"	-0.273786	0.83355	0.99948
"20352"	"RRNAD1"	2.00483	0.08525	0.716367
"20353"	"RRP1"	1.5219	0.2745	0.99948
"20354"	"RRP12"	0.494924	0.73215	0.99948
"20355"	"RRP15"	-0.112304	0.92915	0.99948
"20356"	"RRP1B"	0.290783	0.8243	0.99948
"20357"	"RRP36"	-1.50111	0.10005	0.772177
"20358"	"RRP7A"	0.379836	0.8508	0.99948
"20359"	"RRP7BP"	0.220599	0.86485	0.99948
"20360"	"RRP8"	-0.897011	0.315	0.99948
"20361"	"RRP9"	1.01639	0.2339	0.986676
"20362"	"RRS1"	-0.395947	0.65225	0.99948
"20363"	"RRS1-AS1"	-0.235569	1	1
"20364"	"RS1"	-3.09884	1	1
"20365"	"RSAD1"	0.147474	0.89025	0.99948
"20366"	"RSAD2"	-0.44345	0.572	0.99948
"20367"	"RSBN1"	0.349295	0.7665	0.99948
"20368"	"RSBN1L"	-0.817437	0.49935	0.99948
"20369"	"RSC1A1"	2.20475	0.1348	0.843772
"20370"	"RSF1"	0.431457	0.37795	0.99948
"20371"	"RSG1"	-3.37033	0.00085	0.0368681
"20372"	"RSL1D1"	0.371254	0.46895	0.99948
"20373"	"RSL24D1"	0.55997	0.7885	0.99948
"20374"	"RSPH1"	-797.519	0.0147	0.26162
"20375"	"RSPH10B2"	-3.00384	1	1
"20376"	"RSPH14"	0	1	1
"20377"	"RSPH3"	0.38111	0.685	0.99948
"20378"	"RSPH4A"	-2.57596	1	1
"20379"	"RSPH6A"	768.314	1	1
"20380"	"RSPH9"	0	1	1
"20381"	"RSPO1"	0.201947	1	1
"20382"	"RSPO2"	0	1	1
"20383"	"RSPO3"	0	1	1
"20384"	"RSPO4"	0	1	1
"20385"	"RSPRY1"	-1.44795	0.18435	0.937663
"20386"	"RSRC1"	-1.25147	0.3373	0.99948
"20387"	"RSRC2"	0.140654	0.84685	0.99948
"20388"	"RSRP1"	0.823114	0.6839	0.99948
"20389"	"RSU1"	-0.907215	0.4989	0.99948
"20390"	"RSU1P2"	2.44081	1	1
"20391"	"RTBDN"	4.21729	1	1
"20392"	"RTCA"	-0.303166	0.8734	0.99948
"20393"	"RTCA-AS1"	0.859009	0.67005	0.99948
"20394"	"RTCB"	-0.170642	0.7731	0.99948
"20395"	"RTEL1"	-1.87027	0.1927	0.951216
"20396"	"RTEL1-TNFRSF6B"	0.83895	1	1
"20397"	"RTF1"	1.535	0.3229	0.99948
"20398"	"RTFDC1"	0.681242	0.33485	0.99948
"20399"	"RTKN"	-2.63788	0.0287	0.398636
"20400"	"RTKN2"	-1.51191	0.2242	0.978963
"20401"	"RTL1"	-797.519	1	1
"20402"	"RTN1"	0.253581	0.80615	0.99948
"20403"	"RTN2"	-0.843925	0.52295	0.99948
"20404"	"RTN3"	-0.464913	0.4476	0.99948
"20405"	"RTN4"	-0.0350172	0.9472	0.99948
"20406"	"RTN4IP1"	-1.80761	0.03685	0.466241
"20407"	"RTN4R"	-797.519	1	1
"20408"	"RTN4RL1"	4.1688	1	1
"20409"	"RTN4RL2"	2.89814	1	1
"20410"	"RTP1"	-2.47147	1	1
"20411"	"RTP2"	0	1	1
"20412"	"RTP3"	0	1	1
"20413"	"RTP4"	1.26923	0.1818	0.935608
"20414"	"RTP5"	0	1	1
"20415"	"RTTN"	-1.04112	0.2794	0.99948
"20416"	"RUFY1"	-0.977266	0.42555	0.99948
"20417"	"RUFY2"	0.132929	0.92775	0.99948
"20418"	"RUFY3"	0.0508277	0.9643	0.99948
"20419"	"RUFY4"	-2.22599	1	1
"20420"	"RUNDC1"	-0.27117	0.8065	0.99948
"20421"	"RUNDC3A"	768.314	0.0164	0.279843
"20422"	"RUNDC3A-AS1"	-1.33981	0.1384	0.852285
"20423"	"RUNDC3B"	-0.226665	1	1
"20424"	"RUNX1"	0.211399	0.7916	0.99948
"20425"	"RUNX1-IT1"	-1.57966	0.3391	0.99948
"20426"	"RUNX1T1"	-2.83997	5e-05	0.00458449
"20427"	"RUNX2"	1.86883	0.0955	0.753135
"20428"	"RUNX3"	-0.323009	0.73565	0.99948
"20429"	"RUSC1"	0.364155	0.7685	0.99948
"20430"	"RUSC1-AS1"	0.818608	1	1
"20431"	"RUSC2"	1.27587	0.36765	0.99948
"20432"	"RUVBL1"	-2.5019	0.0395	0.485358
"20433"	"RUVBL1-AS1"	768.314	1	1
"20434"	"RUVBL2"	0.0032502	0.9977	0.99948
"20435"	"RWDD1"	-0.497332	0.6311	0.99948
"20436"	"RWDD2A"	768.314	1	1
"20437"	"RWDD2B"	-2.23056	0.00895	0.185757
"20438"	"RWDD3"	-3.90145	0.0395	0.485357
"20439"	"RWDD4"	-0.126506	0.91075	0.99948
"20440"	"RXFP1"	0	1	1
"20441"	"RXFP2"	0	1	1
"20442"	"RXFP3"	0	1	1
"20443"	"RXFP4"	768.314	5e-05	0.00458449
"20444"	"RXRA"	-0.866502	0.31185	0.99948
"20445"	"RXRB"	0.594298	0.60575	0.99948
"20446"	"RXRG"	0	1	1
"20447"	"RYBP"	0.702841	0.19745	0.957168
"20448"	"RYK"	-0.196236	0.823	0.99948
"20449"	"RYR1"	-1.573	1	1
"20450"	"RYR2"	6.71131	1	1
"20451"	"RYR3"	-797.519	1	1
"20452"	"S100A1"	-4.26359	0.069	0.650783
"20453"	"S100A10"	-0.411811	0.5239	0.99948
"20454"	"S100A11"	-0.316558	0.60575	0.99948
"20455"	"S100A12"	-0.496505	0.62455	0.99948
"20456"	"S100A13"	-1.24287	0.5144	0.99948
"20457"	"S100A14"	-0.610046	0.6677	0.99948
"20458"	"S100A16"	-1.49767	0.2038	0.961342
"20459"	"S100A2"	-0.729593	0.6483	0.99948
"20460"	"S100A3"	5.83785	0.35585	0.99948
"20461"	"S100A4"	0.766968	0.5248	0.99948
"20462"	"S100A5"	0.58098	1	1
"20463"	"S100A6"	0.182871	0.8091	0.99948
"20464"	"S100A7"	2.78365	0.02425	0.361802
"20465"	"S100A7A"	3.30949	1	1
"20466"	"S100A7L2"	0	1	1
"20467"	"S100A8"	0.533903	0.62775	0.99948
"20468"	"S100A9"	0.689963	0.5402	0.99948
"20469"	"S100B"	-0.220805	0.7764	0.99948
"20470"	"S100G"	0	1	1
"20471"	"S100P"	0.553193	0.2948	0.99948
"20472"	"S100PBP"	2.01392	0.0864	0.720597
"20473"	"S100Z"	-3.35582	0.0019	0.0632766
"20474"	"S1PR1"	-1.93806	0.0209	0.327328
"20475"	"S1PR2"	-0.250025	0.815	0.99948
"20476"	"S1PR3"	-1.1648	0.2857	0.99948
"20477"	"S1PR4"	-0.878947	0.39925	0.99948
"20478"	"S1PR5"	5.2798	1	1
"20479"	"SAA1"	-1.71303	0.1611	0.901451
"20480"	"SAA2"	-0.18609	0.89615	0.99948
"20481"	"SAA2-SAA4"	-7.27059	0.41495	0.99948
"20482"	"SAA3P"	0	1	1
"20483"	"SAA4"	40.6553	1	1
"20484"	"SAAL1"	1.90997	0.02615	0.377702
"20485"	"SAC3D1"	2.04986	0.4977	0.99948
"20486"	"SACM1L"	0.511238	0.8188	0.99948
"20487"	"SACS"	0.840049	0.5315	0.99948
"20488"	"SACS-AS1"	0	1	1
"20489"	"SAE1"	-1.17607	0.33605	0.99948
"20490"	"SAFB"	0.0538665	0.93865	0.99948
"20491"	"SAFB2"	0.36632	0.6971	0.99948
"20492"	"SAG"	0	1	1
"20493"	"SAGE1"	768.314	1	1
"20494"	"SALL1"	-6.02041	0.24845	0.994777
"20495"	"SALL2"	-2.80501	1	1
"20496"	"SALL3"	-797.519	1	1
"20497"	"SALL4"	-797.519	1	1
"20498"	"SALRNA1"	-0.887556	1	1
"20499"	"SALRNA2"	768.314	1	1
"20500"	"SALRNA3"	0.39262	1	1
"20501"	"SAMD1"	0.611027	0.5039	0.99948
"20502"	"SAMD10"	-1.09322	0.1894	0.944869
"20503"	"SAMD11"	32.2756	1	1
"20504"	"SAMD12"	-0.0308791	0.98205	0.99948
"20505"	"SAMD12-AS1"	7.06968	0.50675	0.99948
"20506"	"SAMD13"	768.314	1	1
"20507"	"SAMD14"	3.4884	1	1
"20508"	"SAMD15"	-6.65479	1	1
"20509"	"SAMD3"	1.71757	1	1
"20510"	"SAMD4A"	-0.173885	0.8679	0.99948
"20511"	"SAMD4B"	0.222684	0.85865	0.99948
"20512"	"SAMD5"	2.61928	1	1
"20513"	"SAMD7"	-0.188952	1	1
"20514"	"SAMD8"	-0.44384	0.47715	0.99948
"20515"	"SAMD9"	0.759187	0.19115	0.948353
"20516"	"SAMD9L"	0.606729	0.38685	0.99948
"20517"	"SAMHD1"	-0.374796	0.53595	0.99948
"20518"	"SAMM50"	0.112525	0.93305	0.99948
"20519"	"SAMSN1"	-0.203772	0.74265	0.99948
"20520"	"SAMSN1-AS1"	0	1	1
"20521"	"SAP130"	-0.429984	0.74425	0.99948
"20522"	"SAP18"	0.734749	0.1715	0.923957
"20523"	"SAP25"	0.106249	0.89595	0.99948
"20524"	"SAP30"	-0.567175	0.47195	0.99948
"20525"	"SAP30BP"	-0.159317	0.88765	0.99948
"20526"	"SAP30L"	-0.99062	0.34915	0.99948
"20527"	"SAP30L-AS1"	-0.603146	1	1
"20528"	"SAPCD1"	-797.519	1	1
"20529"	"SAPCD1-AS1"	1.87161	1	1
"20530"	"SAPCD2"	-0.954349	0.2237	0.978769
"20531"	"SAR1A"	0.453036	0.45705	0.99948
"20532"	"SAR1B"	-1.08315	0.431	0.99948
"20533"	"SARAF"	0.14717	0.76945	0.99948
"20534"	"SARDH"	768.314	1	1
"20535"	"SARM1"	1.13963	1	1
"20536"	"SARNP"	0.457758	0.68505	0.99948
"20537"	"SARS"	-0.0981375	0.89545	0.99948
"20538"	"SARS2"	-1.5476	0.4726	0.99948
"20539"	"SART1"	-0.312639	0.54395	0.99948
"20540"	"SART3"	-1.47052	0.423	0.99948
"20541"	"SASH1"	0.246022	0.6688	0.99948
"20542"	"SASH3"	0.160191	0.75475	0.99948
"20543"	"SASS6"	-2.80131	0.0401	0.491064
"20544"	"SAT1"	0.483704	0.3213	0.99948
"20545"	"SAT2"	-0.363201	0.79765	0.99948
"20546"	"SATB1"	-0.0746814	0.9422	0.99948
"20547"	"SATB1-AS1"	768.314	1	1
"20548"	"SATB2"	-2.10392	0.0741	0.669256
"20549"	"SATB2-AS1"	0	1	1
"20550"	"SATL1"	0.201228	1	1
"20551"	"SAV1"	1.03031	0.41515	0.99948
"20552"	"SAXO1"	-797.519	1	1
"20553"	"SAXO2"	-797.519	5e-05	0.00458449
"20554"	"SAYSD1"	-0.51586	0.6475	0.99948
"20555"	"SBDS"	-0.455312	0.71415	0.99948
"20556"	"SBDSP1"	-2.35127	0.02955	0.404241
"20557"	"SBF1"	0.499658	0.74695	0.99948
"20558"	"SBF1P1"	768.314	1	1
"20559"	"SBF2"	0.232404	0.8543	0.99948
"20560"	"SBF2-AS1"	-0.666191	0.65345	0.99948
"20561"	"SBK1"	-0.91045	0.35355	0.99948
"20562"	"SBK2"	0	1	1
"20563"	"SBK3"	768.314	5e-05	0.00458449
"20564"	"SBNO1"	0.125966	0.8426	0.99948
"20565"	"SBNO2"	-0.153756	0.8003	0.99948
"20566"	"SBSN"	-0.0378752	0.9763	0.99948
"20567"	"SBSPON"	0.127796	1	1
"20568"	"SC5D"	0.226131	0.8826	0.99948
"20569"	"SCAF1"	0.552687	0.80755	0.99948
"20570"	"SCAF11"	-0.3203	0.6203	0.99948
"20571"	"SCAF4"	0.668422	0.6754	0.99948
"20572"	"SCAF8"	0.173062	0.89935	0.99948
"20573"	"SCAI"	-0.502493	1	1
"20574"	"SCAMP1"	0.192488	0.9161	0.99948
"20575"	"SCAMP1-AS1"	3.866	0.1254	0.821279
"20576"	"SCAMP2"	-0.180812	0.3665	0.99948
"20577"	"SCAMP3"	0.31165	0.77525	0.99948
"20578"	"SCAMP4"	0.557095	0.62185	0.99948
"20579"	"SCAMP5"	0.899924	0.61975	0.99948
"20580"	"SCAND1"	-0.673472	0.5349	0.99948
"20581"	"SCAND2P"	-2.25002	0.09395	0.748243
"20582"	"SCAP"	-0.959416	0.37725	0.99948
"20583"	"SCAPER"	0.0837057	0.9425	0.99948
"20584"	"SCARA3"	0.880513	0.5117	0.99948
"20585"	"SCARA5"	2.94521	1	1
"20586"	"SCARB1"	-0.233657	0.81895	0.99948
"20587"	"SCARB2"	-0.232881	0.7079	0.99948
"20588"	"SCARF1"	-0.424975	0.7423	0.99948
"20589"	"SCARF2"	-797.519	1	1
"20590"	"SCARNA1"	0	1	1
"20591"	"SCARNA10"	-3.71255	0.5797	0.99948
"20592"	"SCARNA11"	0	1	1
"20593"	"SCARNA12"	-797.519	1	1
"20594"	"SCARNA13"	-2.83448	0.3658	0.99948
"20595"	"SCARNA14"	0	1	1
"20596"	"SCARNA15"	0	1	1
"20597"	"SCARNA16"	0	1	1
"20598"	"SCARNA17"	-0.368493	0.814	0.99948
"20599"	"SCARNA18"	0	1	1
"20600"	"SCARNA2"	0.527507	0.5357	0.99948
"20601"	"SCARNA20"	0	1	1
"20602"	"SCARNA21"	0	1	1
"20603"	"SCARNA22"	0	1	1
"20604"	"SCARNA23"	0	1	1
"20605"	"SCARNA27"	0	1	1
"20606"	"SCARNA3"	768.314	1	1
"20607"	"SCARNA4"	0	1	1
"20608"	"SCARNA5"	0	1	1
"20609"	"SCARNA6"	0	1	1
"20610"	"SCARNA7"	2.64717	0.3502	0.99948
"20611"	"SCARNA8"	0	1	1
"20612"	"SCARNA9"	-0.158336	0.915	0.99948
"20613"	"SCARNA9L"	-797.519	0.07925	0.691207
"20614"	"SCART1"	2.37331	1	1
"20615"	"SCCPDH"	-0.715998	0.65835	0.99948
"20616"	"SCD"	0.1513	0.7906	0.99948
"20617"	"SCD5"	-1.83313	0.0227	0.346163
"20618"	"SCEL"	0.446343	0.57945	0.99948
"20619"	"SCEL-AS1"	0	1	1
"20620"	"SCFD1"	-0.609758	0.60095	0.99948
"20621"	"SCFD2"	-0.229497	0.79585	0.99948
"20622"	"SCG2"	-1.75564	1	1
"20623"	"SCG3"	-2.64711	1	1
"20624"	"SCG5"	768.314	1	1
"20625"	"SCGB1A1"	768.314	1	1
"20626"	"SCGB1B2P"	768.314	5e-05	0.00458449
"20627"	"SCGB1C1"	0	1	1
"20628"	"SCGB1C2"	0	1	1
"20629"	"SCGB1D1"	0	1	1
"20630"	"SCGB1D2"	0	1	1
"20631"	"SCGB1D4"	0	1	1
"20632"	"SCGB2A1"	0	1	1
"20633"	"SCGB2A2"	0	1	1
"20634"	"SCGB2B2"	0	1	1
"20635"	"SCGB2B3P"	0	1	1
"20636"	"SCGB3A1"	-1.91557	1	1
"20637"	"SCGB3A2"	0	1	1
"20638"	"SCGN"	0	1	1
"20639"	"SCHIP1"	768.314	1	1
"20640"	"SCHLAP1"	0.35248	1	1
"20641"	"SCIMP"	-2.11356	0.0702	0.656121
"20642"	"SCIN"	-0.351366	0.757	0.99948
"20643"	"SCLT1"	-1.27493	0.2095	0.963425
"20644"	"SCLY"	2.61558	0.23145	0.986676
"20645"	"SCMH1"	-1.83493	0.23985	0.989718
"20646"	"SCML1"	-0.752658	0.5042	0.99948
"20647"	"SCML2"	0.272555	1	1
"20648"	"SCML4"	1.48972	1	1
"20649"	"SCN10A"	0	1	1
"20650"	"SCN11A"	0.386163	1	1
"20651"	"SCN1A"	768.314	1	1
"20652"	"SCN1B"	1.54421	0.17665	0.930592
"20653"	"SCN2A"	1.71624	1	1
"20654"	"SCN2B"	-1.58505	1	1
"20655"	"SCN3A"	1.1844	1	1
"20656"	"SCN3B"	-6.32755	0.0036	0.0973007
"20657"	"SCN4A"	768.314	1	1
"20658"	"SCN4B"	-3.26458	0.03555	0.456572
"20659"	"SCN5A"	-797.519	1	1
"20660"	"SCN7A"	-4.8989	1	1
"20661"	"SCN8A"	2.14853	1	1
"20662"	"SCN9A"	0.417307	1	1
"20663"	"SCNM1"	1.37748	0.687	0.99948
"20664"	"SCNN1A"	0.981536	0.37245	0.99948
"20665"	"SCNN1B"	0.949931	0.67835	0.99948
"20666"	"SCNN1D"	-797.519	1	1
"20667"	"SCNN1G"	1.51351	0.23095	0.986663
"20668"	"SCO1"	0.0432852	0.9654	0.99948
"20669"	"SCO2"	-0.203763	0.90175	0.99948
"20670"	"SCOC"	1.3608	0.30555	0.99948
"20671"	"SCOC-AS1"	0.688692	1	1
"20672"	"SCP2"	-0.590045	0.45785	0.99948
"20673"	"SCP2D1"	0	1	1
"20674"	"SCPEP1"	-0.0671578	0.6937	0.99948
"20675"	"SCRG1"	0	1	1
"20676"	"SCRIB"	-1.94643	0.2205	0.974331
"20677"	"SCRN1"	-0.337454	0.738	0.99948
"20678"	"SCRN2"	2.83306	0.0163	0.278794
"20679"	"SCRN3"	1.52357	0.14645	0.869873
"20680"	"SCRT1"	-797.519	1	1
"20681"	"SCRT2"	3.96262	4e-04	0.0209199
"20682"	"SCT"	0	1	1
"20683"	"SCTR"	0	1	1
"20684"	"SCUBE1"	-797.519	1	1
"20685"	"SCUBE2"	0.585991	0.57605	0.99948
"20686"	"SCUBE3"	-0.0021162	1	1
"20687"	"SCX"	-2.79033	0.50155	0.99948
"20688"	"SCYL1"	-0.714882	0.68775	0.99948
"20689"	"SCYL2"	0.704303	0.4409	0.99948
"20690"	"SCYL3"	-0.401559	0.74215	0.99948
"20691"	"SDAD1"	-0.00534323	0.9963	0.99948
"20692"	"SDC1"	-0.132152	0.8724	0.99948
"20693"	"SDC2"	0.486664	0.71675	0.99948
"20694"	"SDC3"	-0.390328	0.638	0.99948
"20695"	"SDC4"	-0.280238	0.6258	0.99948
"20696"	"SDC4P"	0	1	1
"20697"	"SDCBP"	0.134159	0.8024	0.99948
"20698"	"SDCBP2"	1.08913	0.3407	0.99948
"20699"	"SDCBP2-AS1"	2.23251	0.1601	0.899958
"20700"	"SDCCAG3"	-0.0920445	0.94875	0.99948
"20701"	"SDCCAG8"	-1.57438	0.27465	0.99948
"20702"	"SDE2"	0.784788	0.44065	0.99948
"20703"	"SDF2"	0.415077	0.73005	0.99948
"20704"	"SDF2L1"	-1.47245	0.1104	0.797254
"20705"	"SDF4"	-0.0527391	0.94645	0.99948
"20706"	"SDHA"	0.719518	0.4758	0.99948
"20707"	"SDHAF1"	0.320136	0.71415	0.99948
"20708"	"SDHAF2"	2.81844	0.01575	0.273914
"20709"	"SDHAF3"	3.28742	1	1
"20710"	"SDHAF4"	768.314	5e-05	0.00458449
"20711"	"SDHAP1"	0.414867	0.8182	0.99948
"20712"	"SDHAP2"	-0.0193995	0.9864	0.99948
"20713"	"SDHAP3"	-0.0504359	0.96005	0.99948
"20714"	"SDHB"	-0.284663	0.82155	0.99948
"20715"	"SDHC"	-0.635122	0.2615	0.99948
"20716"	"SDHD"	-0.554581	0.7122	0.99948
"20717"	"SDK1"	-1.95365	0.05765	0.588981
"20718"	"SDK2"	2.00404	1	1
"20719"	"SDPR"	1.94164	0.0202	0.318777
"20720"	"SDR16C5"	0.273018	0.73795	0.99948
"20721"	"SDR16C6P"	0	1	1
"20722"	"SDR39U1"	1.03219	0.4578	0.99948
"20723"	"SDR42E1"	2.03464	1	1
"20724"	"SDR9C7"	0.279888	1	1
"20725"	"SDS"	-0.638419	0.52545	0.99948
"20726"	"SDSL"	-0.580285	0.5697	0.99948
"20727"	"SEBOX"	0	1	1
"20728"	"SEC11A"	-0.27358	0.70935	0.99948
"20729"	"SEC11C"	0.771251	0.495	0.99948
"20730"	"SEC13"	1.41062	0.2373	0.989133
"20731"	"SEC14L1"	0.0561456	0.90875	0.99948
"20732"	"SEC14L1P1"	-3.54478	0.1716	0.924041
"20733"	"SEC14L2"	0.510167	0.65735	0.99948
"20734"	"SEC14L3"	2.56148	1	1
"20735"	"SEC14L4"	-0.736165	1	1
"20736"	"SEC14L5"	-1.11257	1	1
"20737"	"SEC14L6"	0	1	1
"20738"	"SEC16A"	-0.00910394	0.99005	0.99948
"20739"	"SEC16B"	4.18228	1	1
"20740"	"SEC1P"	-0.942397	1	1
"20741"	"SEC22A"	-0.0352231	0.9681	0.99948
"20742"	"SEC22B"	0.376714	0.52615	0.99948
"20743"	"SEC22C"	0.448494	0.7016	0.99948
"20744"	"SEC23A"	1.07709	0.3533	0.99948
"20745"	"SEC23B"	0.440153	0.5132	0.99948
"20746"	"SEC23IP"	-1.98739	0.21585	0.973457
"20747"	"SEC24A"	-1.33032	0.3348	0.99948
"20748"	"SEC24B"	-0.635403	0.8168	0.99948
"20749"	"SEC24B-AS1"	2.234	0.2742	0.99948
"20750"	"SEC24C"	0.468169	0.38845	0.99948
"20751"	"SEC24D"	0.458956	0.82555	0.99948
"20752"	"SEC31A"	0.689686	0.2862	0.99948
"20753"	"SEC31B"	-0.490171	0.57055	0.99948
"20754"	"SEC61A1"	-0.729146	0.2032	0.960443
"20755"	"SEC61A2"	1.52112	0.3868	0.99948
"20756"	"SEC61B"	0.579492	0.58845	0.99948
"20757"	"SEC61G"	-0.809551	0.4895	0.99948
"20758"	"SEC62"	0.395267	0.4764	0.99948
"20759"	"SEC63"	-1.19585	0.2697	0.99948
"20760"	"SECISBP2"	-0.0706145	0.9521	0.99948
"20761"	"SECISBP2L"	0.612445	0.3312	0.99948
"20762"	"SECTM1"	-0.372645	0.4462	0.99948
"20763"	"SEH1L"	-0.976083	0.40855	0.99948
"20764"	"SEL1L"	-0.331483	0.66705	0.99948
"20765"	"SEL1L2"	0	1	1
"20766"	"SEL1L3"	1.23724	0.516	0.99948
"20767"	"SELE"	0	1	1
"20768"	"SELENBP1"	-0.745914	0.5671	0.99948
"20769"	"SELK"	0.325765	0.8659	0.99948
"20770"	"SELL"	1.15718	0.331	0.99948
"20771"	"SELM"	1.70155	0.04435	0.521508
"20772"	"SELO"	0.251317	0.7938	0.99948
"20773"	"SELP"	-797.519	1	1
"20774"	"SELPLG"	1.10628	0.43335	0.99948
"20775"	"SELT"	-0.354909	0.3259	0.99948
"20776"	"SELV"	768.314	1	1
"20777"	"SEMA3A"	1.68553	1	1
"20778"	"SEMA3B"	-1.85756	0.0871	0.722691
"20779"	"SEMA3B-AS1"	-797.519	1	1
"20780"	"SEMA3C"	0.841974	0.611	0.99948
"20781"	"SEMA3D"	0	1	1
"20782"	"SEMA3E"	2.10643	0.0463	0.530542
"20783"	"SEMA3F"	1.77846	0.17835	0.931195
"20784"	"SEMA3G"	4.49423	5e-05	0.00458449
"20785"	"SEMA4A"	-0.34209	0.79655	0.99948
"20786"	"SEMA4B"	0.1321	0.91435	0.99948
"20787"	"SEMA4C"	-0.132001	0.90185	0.99948
"20788"	"SEMA4D"	-0.502496	0.44955	0.99948
"20789"	"SEMA4F"	-0.116099	1	1
"20790"	"SEMA4G"	-1.81186	0.45615	0.99948
"20791"	"SEMA5A"	-1.04715	0.3557	0.99948
"20792"	"SEMA5B"	0	1	1
"20793"	"SEMA6A"	-1.89822	0.1321	0.837371
"20794"	"SEMA6A-AS1"	2.60228	1	1
"20795"	"SEMA6B"	-0.863135	0.60275	0.99948
"20796"	"SEMA6C"	-3.37449	1	1
"20797"	"SEMA6D"	-3.4553	0.0021	0.067606
"20798"	"SEMA7A"	1.09916	0.31715	0.99948
"20799"	"SEMG1"	-797.519	1	1
"20800"	"SEMG2"	-5.43383	1	1
"20801"	"SENCR"	-797.519	1	1
"20802"	"SENP1"	-0.411522	0.7125	0.99948
"20803"	"SENP2"	0.250143	0.83625	0.99948
"20804"	"SENP3"	-1.0415	0.5447	0.99948
"20805"	"SENP3-EIF4A1"	-2.22439	0.41545	0.99948
"20806"	"SENP5"	0.541908	0.75975	0.99948
"20807"	"SENP6"	-1.15676	0.28075	0.99948
"20808"	"SENP7"	0.131632	0.92885	0.99948
"20809"	"SENP8"	-1.51716	1	1
"20810"	"SEP15"	-0.316615	0.6268	0.99948
"20811"	"SEPHS1"	1.64429	0.12625	0.824238
"20812"	"SEPHS2"	0.277593	0.67945	0.99948
"20813"	"SEPN1"	0.472428	0.77745	0.99948
"20814"	"SEPP1"	-1.77445	0.19315	0.951216
"20815"	"SEPSECS"	-0.727305	0.416	0.99948
"20816"	"SEPSECS-AS1"	-2.34657	1	1
"20817"	"SEPT1"	2.06941	1	1
"20818"	"SEPT10"	0.648182	0.5615	0.99948
"20819"	"SEPT11"	-0.544435	0.78395	0.99948
"20820"	"SEPT12"	0	1	1
"20821"	"SEPT14"	-0.744895	1	1
"20822"	"SEPT2"	-0.824686	0.4394	0.99948
"20823"	"SEPT3"	-0.658508	1	1
"20824"	"SEPT4"	-0.160539	1	1
"20825"	"SEPT4-AS1"	0	1	1
"20826"	"SEPT5"	0.260675	0.8378	0.99948
"20827"	"SEPT5-GP1BB"	23.5473	1	1
"20828"	"SEPT6"	0.931084	0.45255	0.99948
"20829"	"SEPT7"	-0.298008	0.6497	0.99948
"20830"	"SEPT7-AS1"	768.314	1	1
"20831"	"SEPT7P2"	-0.360039	0.6869	0.99948
"20832"	"SEPT7P9"	768.314	1	1
"20833"	"SEPT8"	0.195344	0.87245	0.99948
"20834"	"SEPT9"	-0.19548	0.7611	0.99948
"20835"	"SEPW1"	0.574392	0.78325	0.99948
"20836"	"SERAC1"	0.642238	0.5461	0.99948
"20837"	"SERBP1"	-1.01391	0.14205	0.862119
"20838"	"SERF1A"	-0.462474	1	1
"20839"	"SERF1B"	-1.08199	0.28695	0.99948
"20840"	"SERF2"	-0.91538	0.396	0.99948
"20841"	"SERF2-C15ORF63"	6.26901	0.4946	0.99948
"20842"	"SERGEF"	0.524668	0.6136	0.99948
"20843"	"SERHL"	-4.87882	1	1
